Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Churn,Churn_Numeric,Num_Internet_Services
Male,0,Yes,Yes,0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Two Year,No,Electronic Check,33.65,6.064366435091649,No,0.0,2
Female,1,Yes,Yes,33,Yes,Yes,Dsl,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Transfer (Automatic),71.32,7.576497055703329,Yes,1.0,4
Female,0,No,No,43,Yes,Yes,Dsl,No,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,87.85,6.565968947537155,No,0.0,4
Male,0,Yes,Yes,13,No,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,46.55,6.325558958943231,Yes,1.0,4
Male,0,Yes,No,36,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Electronic Check,42.22,6.006057549410882,Yes,1.0,4
Male,0,Yes,Yes,34,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),119.0,8.935471854170055,Yes,1.0,3
Female,1,Yes,No,58,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,68.72,7.907294650955379,Yes,1.0,2
Male,0,Yes,Yes,23,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,108.55,5.371103036273684,Yes,1.0,4
Female,0,Yes,Yes,64,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,No,Electronic Check,58.09,7.173820379208951,No,0.0,3
Female,0,No,Yes,5,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,No,Electronic Check,26.15,3.523709956137547,Yes,1.0,3
Female,0,No,No,67,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),47.34,7.377002372126589,Yes,1.0,1
Male,0,No,No,37,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),85.01,8.045270922758483,Yes,1.0,3
Male,0,Yes,No,0,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,74.42,7.868296361840827,Yes,1.0,3
Female,0,Yes,Yes,40,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,One Year,No,Mailed Check,55.84,7.826893951620421,No,0.0,3
Male,0,No,Yes,30,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Electronic Check,71.46,8.201520340064844,No,0.0,5
Male,0,No,Yes,35,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),119.7,8.630787912761088,Yes,1.0,3
Male,1,No,No,53,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,One Year,No,Bank Transfer (Automatic),89.65,8.739462760919585,No,0.0,3
Female,0,No,Yes,30,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),85.5,8.697427571571637,Yes,1.0,1
Female,0,Yes,No,28,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,No,Mailed Check,75.54,7.086219405448787,Yes,1.0,4
Male,0,No,No,2,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,38.37,5.684055844472168,Yes,1.0,3
Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,No,No,Yes,No,One Year,No,Bank Transfer (Automatic),81.8,8.003817652712009,No,0.0,3
Male,0,Yes,No,60,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,77.83,8.31475382166032,No,0.0,2
Male,0,Yes,No,5,Yes,Yes,Dsl,No,No,No,Yes,No,Yes,Month-To-Month,No,Mailed Check,98.7,8.845133419460977,No,0.0,2
Male,0,No,Yes,19,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-To-Month,No,Mailed Check,52.71,7.448724000275348,No,0.0,4
Male,0,No,Yes,60,No,No,Dsl,No,Yes,No,No,Yes,No,One Year,Yes,Electronic Check,60.09,6.522430976275608,No,0.0,2
Female,1,No,Yes,45,No,No,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,Yes,Mailed Check,119.23,8.408009822401398,No,0.0,1
Female,0,Yes,Yes,12,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,54.69,7.187830996321966,No,0.0,5
Female,0,Yes,Yes,22,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,Yes,Electronic Check,75.03,7.541683099882111,Yes,1.0,1
Male,1,No,Yes,30,Yes,No,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,51.99,7.4964692915422475,Yes,1.0,3
Male,0,Yes,No,3,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,84.7,6.824927864275177,Yes,1.0,2
Male,0,No,Yes,65,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,97.25,6.352716500539821,No,0.0,2
Female,0,Yes,No,15,Yes,No,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Electronic Check,88.54,8.261144143922465,Yes,1.0,3
Male,0,Yes,No,30,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,No,Bank Transfer (Automatic),76.07,7.383759617902705,No,0.0,2
Female,1,Yes,No,47,No,No,No,Yes,No,No,Yes,Yes,No,Two Year,Yes,Electronic Check,51.16,7.886028768811707,No,0.0,3
Female,1,Yes,No,42,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Month-To-Month,No,Mailed Check,78.43,8.251783895542733,No,0.0,2
Female,0,Yes,No,3,Yes,Yes,Dsl,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Mailed Check,97.33,8.612301532670715,Yes,1.0,3
Female,0,Yes,Yes,61,Yes,Yes,Dsl,Yes,No,No,No,No,No,Two Year,Yes,Electronic Check,35.49,5.11954948795338,No,0.0,1
Female,0,Yes,Yes,47,Yes,No,Dsl,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Mailed Check,64.29,5.847767371850795,No,0.0,4
Female,0,No,Yes,27,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),107.54,5.437383414671034,Yes,1.0,4
Male,0,Yes,No,15,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,70.15,7.760709966453698,Yes,1.0,2
Male,0,Yes,Yes,68,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),109.95,7.147386164153795,No,0.0,3
Female,1,No,Yes,29,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),28.35,7.436198792300665,No,0.0,2
Female,1,No,No,64,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-To-Month,No,Mailed Check,46.89,7.600752448290957,Yes,1.0,2
Male,0,No,No,68,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,70.52,7.170896164878045,No,0.0,3
Female,0,No,Yes,13,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Transfer (Automatic),39.09,7.51762410614156,No,0.0,4
Female,0,Yes,No,33,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,77.46,8.622322280296952,Yes,1.0,2
Male,0,Yes,No,55,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),68.09,7.370110987293602,No,0.0,4
Female,0,No,No,28,Yes,No,Dsl,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,113.58,5.592813669307488,No,0.0,5
Female,0,Yes,Yes,24,Yes,No,No,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Mailed Check,85.63,7.43466485964631,Yes,1.0,2
Female,0,No,No,65,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),21.39,4.143610803525019,Yes,1.0,5
Male,0,Yes,No,39,Yes,No,Dsl,Yes,Yes,No,Yes,No,Yes,One Year,No,Mailed Check,104.33,8.496222842598584,No,0.0,4
Male,0,Yes,No,14,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Mailed Check,84.78,8.489005628596047,Yes,1.0,5
Male,1,Yes,No,31,Yes,No,Dsl,No,No,Yes,No,No,No,One Year,No,Mailed Check,40.29,7.838079085067719,No,0.0,1
Female,0,Yes,No,19,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,One Year,Yes,Mailed Check,44.7,7.898919689781747,No,0.0,3
Female,0,Yes,Yes,52,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,88.74,8.68392891771645,No,0.0,1
Male,0,No,Yes,66,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),77.7,8.333919181182477,No,0.0,3
Female,0,Yes,No,48,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,63.91,4.291007236286713,Yes,1.0,3
Female,1,Yes,No,66,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-To-Month,No,Mailed Check,51.58,7.851283674737301,No,0.0,3
Female,0,Yes,Yes,0,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,No,Electronic Check,102.62,8.46239481402757,Yes,1.0,1
Female,0,Yes,Yes,38,Yes,No,Dsl,Yes,No,Yes,No,Yes,No,Two Year,Yes,Bank Transfer (Automatic),99.37,7.487868130907903,Yes,1.0,3
Female,0,Yes,No,60,No,No,Dsl,No,Yes,No,Yes,No,Yes,Two Year,Yes,Electronic Check,106.48,8.935179580078074,No,0.0,3
Male,0,No,No,54,Yes,Yes,Dsl,No,No,Yes,Yes,No,No,One Year,No,Bank Transfer (Automatic),100.48,8.358523315387153,No,0.0,2
Female,0,Yes,Yes,68,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),114.33,8.086764058888843,Yes,1.0,2
Male,0,No,No,1,Yes,Yes,Dsl,No,No,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,31.09,6.696787303598061,Yes,1.0,2
Female,0,Yes,No,16,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-To-Month,No,Mailed Check,71.35,8.144458549530786,Yes,1.0,2
Male,0,Yes,Yes,28,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),51.32,7.516797763151343,No,0.0,3
Female,0,No,Yes,3,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),58.68,8.072900972683152,Yes,1.0,3
Male,0,Yes,Yes,63,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,One Year,Yes,Mailed Check,112.16,6.42728102355309,Yes,1.0,3
Female,0,Yes,Yes,42,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Electronic Check,98.74,7.587938793150224,No,0.0,4
Male,0,No,No,11,Yes,Yes,Dsl,No,No,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),23.23,5.654101914201623,Yes,1.0,1
Female,1,Yes,No,49,No,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,65.0,6.024294691698684,Yes,1.0,2
Male,1,No,No,67,Yes,Yes,Dsl,No,Yes,Yes,No,No,Yes,Month-To-Month,No,Electronic Check,44.49,6.333989855442272,No,0.0,3
Female,0,No,No,60,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),78.24,8.30224843791639,No,0.0,4
Male,0,No,Yes,50,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Electronic Check,51.96,7.05138798116098,No,0.0,5
Male,0,Yes,Yes,4,Yes,No,Dsl,No,Yes,Yes,No,No,No,Month-To-Month,No,Mailed Check,68.34,5.845513491623678,Yes,1.0,2
Female,0,Yes,No,27,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,One Year,No,Electronic Check,57.34,7.038204426365381,No,0.0,3
Female,0,No,No,9,Yes,No,Dsl,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),23.62,7.116036937445624,Yes,1.0,3
Male,0,Yes,No,51,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,No,Mailed Check,49.47,7.127661596103363,Yes,1.0,2
Female,0,No,Yes,16,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Two Year,No,Electronic Check,88.22,8.732401340544412,No,0.0,1
Male,0,Yes,Yes,64,Yes,No,Dsl,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,103.18,7.111650769199903,Yes,1.0,3
Male,1,No,Yes,20,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Mailed Check,100.04,8.651724084373843,Yes,1.0,5
Male,0,Yes,No,53,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Mailed Check,45.05,7.824745765970565,Yes,1.0,6
Female,0,No,No,48,Yes,No,Dsl,No,Yes,Yes,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),101.32,7.645440740109257,Yes,1.0,2
Male,0,Yes,No,21,Yes,Yes,Dsl,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),102.63,8.4736362102273,Yes,1.0,2
Male,0,No,Yes,68,Yes,Yes,Dsl,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,72.53,7.646936447993988,Yes,1.0,2
Female,1,Yes,No,63,Yes,Yes,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),52.58,7.334133508670508,Yes,1.0,0
Female,0,No,Yes,35,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Two Year,Yes,Mailed Check,101.84,6.536793041721038,No,0.0,2
Female,0,Yes,No,20,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,30.45,4.5531397778937075,Yes,1.0,3
Female,0,Yes,No,55,Yes,Yes,Dsl,No,Yes,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),115.61,8.243779506317631,No,0.0,2
Male,0,No,Yes,47,Yes,No,Dsl,No,No,No,Yes,No,Yes,One Year,Yes,Bank Transfer (Automatic),53.49,7.626068130954191,No,0.0,2
Male,0,Yes,Yes,17,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Two Year,Yes,Bank Transfer (Automatic),33.15,7.333571883338199,Yes,1.0,0
Male,0,Yes,No,14,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Two Year,Yes,Bank Transfer (Automatic),94.35,8.12248403015957,No,0.0,2
Male,0,Yes,Yes,43,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,No,Mailed Check,64.16,8.015753382758737,No,0.0,1
Female,0,Yes,Yes,44,Yes,No,Dsl,No,No,No,Yes,Yes,No,Two Year,Yes,Electronic Check,72.46,6.743411155418835,No,0.0,2
Male,0,No,Yes,35,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Two Year,Yes,Bank Transfer (Automatic),24.02,6.1591165299175,Yes,1.0,2
Male,0,Yes,Yes,39,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),51.46,7.0578721195226395,Yes,1.0,3
Female,0,Yes,Yes,50,Yes,Yes,Dsl,No,No,No,Yes,Yes,Yes,Month-To-Month,No,Mailed Check,42.14,5.400783698092527,Yes,1.0,3
Male,0,No,No,29,Yes,No,No,No,Yes,Yes,No,No,No,Month-To-Month,No,Electronic Check,61.44,7.741177313833693,Yes,1.0,2
Male,0,Yes,No,25,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),27.7,6.692133369066774,Yes,1.0,2
Male,0,No,No,30,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,43.93,7.0832452200047955,Yes,1.0,3
Male,0,Yes,No,55,Yes,No,No,No,No,No,No,Yes,No,Month-To-Month,Yes,Mailed Check,37.72,5.479096067084477,No,0.0,1
Male,0,No,Yes,60,Yes,No,Dsl,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,49.39,6.29445386362691,No,0.0,5
Male,0,Yes,No,16,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),68.1,5.902742617047178,Yes,1.0,3
Female,0,No,Yes,23,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,One Year,No,Electronic Check,115.92,8.728560473866635,No,0.0,2
Female,0,No,No,3,Yes,Yes,Dsl,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,69.25,8.180424510859863,Yes,1.0,2
Male,0,No,No,8,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),115.33,6.419098761237192,Yes,1.0,4
Male,0,Yes,Yes,1,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,One Year,Yes,Electronic Check,61.54,6.643190595367138,No,0.0,3
Female,0,No,No,34,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,No,Credit Card (Automatic),26.41,6.947466256551562,Yes,1.0,1
Male,0,Yes,No,37,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),41.03,7.517303435665768,No,0.0,4
Male,0,No,No,44,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,58.77,7.385634067599347,Yes,1.0,1
Male,0,No,No,14,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Two Year,No,Mailed Check,117.73,8.277546712803003,Yes,1.0,4
Female,0,No,No,41,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,100.98,8.875586258535673,Yes,1.0,2
Male,0,Yes,No,2,No,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),27.01,6.551751538307516,Yes,1.0,2
Female,0,Yes,No,30,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Mailed Check,37.36,6.643333900104908,Yes,1.0,3
Male,0,No,Yes,51,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Mailed Check,78.56,8.150967065525244,No,0.0,3
Female,0,No,No,40,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Electronic Check,116.27,8.102771088932828,Yes,1.0,5
Female,0,No,No,56,Yes,No,Dsl,No,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,60.98,7.515257421413506,Yes,1.0,4
Male,0,No,No,41,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.19,8.79234306285472,Yes,1.0,3
Female,0,No,No,52,Yes,Yes,Dsl,No,No,No,No,Yes,No,Month-To-Month,Yes,Mailed Check,52.65,7.900136302629834,No,0.0,1
Male,0,No,No,55,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Electronic Check,39.47,7.146086905335876,No,0.0,4
Female,0,No,No,71,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,51.9,7.347621813807634,Yes,1.0,3
Male,1,No,Yes,52,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Month-To-Month,Yes,Mailed Check,82.04,7.7713917908294,No,0.0,2
Male,1,Yes,No,31,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,79.13,8.632929689898834,Yes,1.0,2
Female,0,No,No,53,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),64.69,7.890713514102306,No,0.0,3
Male,0,Yes,Yes,36,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,88.83,8.54758853686181,Yes,1.0,2
Male,0,No,Yes,7,Yes,Yes,Dsl,No,No,Yes,Yes,No,Yes,One Year,No,Electronic Check,43.78,6.847134407158671,No,0.0,3
Female,0,Yes,No,10,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Credit Card (Automatic),28.08,7.277779720550282,Yes,1.0,4
Male,0,Yes,No,53,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,No,Electronic Check,81.51,8.326456325020935,No,0.0,3
Male,0,No,No,59,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,33.96,7.792315893014255,No,0.0,3
Female,0,Yes,Yes,9,Yes,No,Dsl,Yes,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,71.19,7.405720561920017,Yes,1.0,2
Female,0,Yes,Yes,69,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Credit Card (Automatic),54.02,7.620719792612484,Yes,1.0,3
Male,0,No,No,41,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,23.24,6.743529010457275,Yes,1.0,2
Male,0,No,No,36,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-To-Month,No,Mailed Check,66.22,8.342161002509092,Yes,1.0,3
Female,0,No,Yes,57,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,107.66,7.664689135614973,No,0.0,3
Female,1,Yes,Yes,58,Yes,No,Dsl,Yes,No,No,No,Yes,No,One Year,Yes,Bank Transfer (Automatic),108.19,8.026934608590212,No,0.0,2
Male,0,No,Yes,23,Yes,No,Dsl,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),92.67,8.754310651295798,Yes,1.0,3
Female,0,Yes,Yes,27,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,One Year,No,Bank Transfer (Automatic),67.92,6.425517112068059,Yes,1.0,3
Male,0,No,No,36,Yes,No,Dsl,No,No,Yes,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),54.59,6.694933276739799,Yes,1.0,3
Male,1,No,Yes,20,No,No,Fiber Optic,No,No,Yes,No,No,No,One Year,No,Mailed Check,23.07,6.613988062874408,No,0.0,1
Male,0,Yes,Yes,32,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,92.17,7.99349169490286,Yes,1.0,1
Male,0,Yes,No,1,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),111.11,8.36312550814467,Yes,1.0,2
Male,0,Yes,Yes,27,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Two Year,No,Bank Transfer (Automatic),78.47,7.766929478492243,No,0.0,2
Female,0,No,No,14,Yes,Yes,Dsl,No,No,No,Yes,No,No,Two Year,Yes,Mailed Check,119.84,8.447630872110363,No,0.0,1
Female,0,No,Yes,0,Yes,Yes,Dsl,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Transfer (Automatic),85.14,8.506868070337987,No,0.0,3
Female,0,No,No,27,Yes,No,Dsl,No,Yes,No,No,No,Yes,Two Year,Yes,Electronic Check,36.06,7.084494617479859,No,0.0,2
Female,0,Yes,Yes,49,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-To-Month,No,Credit Card (Automatic),70.44,5.9222484364192995,Yes,1.0,4
Male,1,Yes,No,34,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Two Year,No,Electronic Check,76.43,8.593631873924627,No,0.0,2
Male,0,Yes,No,27,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,97.67,8.80272545468332,Yes,1.0,4
Male,0,Yes,Yes,8,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,One Year,Yes,Electronic Check,86.54,7.449445647991283,No,0.0,3
Male,0,No,No,23,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,One Year,No,Electronic Check,25.15,5.641020152919886,Yes,1.0,3
Female,0,Yes,No,62,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Electronic Check,41.01,6.8743846208403,No,0.0,4
Male,1,Yes,Yes,3,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,25.78,7.204037761653089,No,0.0,4
Male,0,No,No,55,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Mailed Check,64.7,8.343701337806747,No,0.0,3
Female,0,No,No,40,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,60.95,5.313895396511355,Yes,1.0,4
Female,0,Yes,Yes,66,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,One Year,Yes,Mailed Check,68.13,8.442881198451685,No,0.0,3
Female,0,Yes,Yes,47,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Mailed Check,119.96,5.946702509133986,Yes,1.0,2
Female,0,Yes,No,57,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,22.43,7.29496136781802,No,0.0,3
Male,0,Yes,No,38,Yes,No,Fiber Optic,No,Yes,No,Yes,No,No,Two Year,Yes,Bank Transfer (Automatic),116.46,8.44633715674679,Yes,1.0,2
Male,0,Yes,No,24,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),110.5,7.298431569616862,Yes,1.0,2
Female,0,Yes,No,59,Yes,Yes,Dsl,No,No,No,Yes,No,No,Month-To-Month,No,Mailed Check,51.5,8.041551296984728,Yes,1.0,1
Male,0,No,No,46,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,110.82,8.619775050180152,Yes,1.0,4
Male,0,No,Yes,60,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Two Year,No,Electronic Check,63.86,8.400029963639259,No,0.0,2
Male,1,No,No,26,Yes,No,Dsl,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),98.66,7.789611903604957,No,0.0,4
Female,0,No,Yes,41,Yes,No,Dsl,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,20.27,5.533073233190413,No,0.0,2
Male,0,Yes,Yes,51,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,110.35,8.96318969182392,Yes,1.0,5
Female,0,Yes,Yes,47,Yes,Yes,No,No,No,No,Yes,Yes,No,Month-To-Month,No,Electronic Check,82.47,8.543657891468317,No,0.0,2
