Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Num_Internet_Services
Male,0,No,No,32,Yes,No,Dsl,No,Yes,No,Yes,No,No,Month-To-Month,Yes,Credit Card (Automatic),29.07,4.724729421045731,2
Male,0,Yes,Yes,55,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,No,Electronic Check,60.8,7.367727511588963,3
Male,1,No,No,20,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),27.92,6.426407548035744,3
Male,0,No,No,52,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,One Year,No,Credit Card (Automatic),82.91,8.606936998582741,2
Male,0,Yes,No,56,No,No,Fiber Optic,No,No,No,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),67.28,7.061428702083377,2
Female,0,Yes,No,21,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card (Automatic),39.95,7.926187350522719,5
Female,0,No,Yes,64,Yes,No,Fiber Optic,No,Yes,No,No,No,No,One Year,No,Mailed Check,93.54,8.080788348017235,1
Male,0,No,Yes,65,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),112.76,8.467876888860276,1
Female,0,Yes,No,31,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),32.35,6.582731260721253,4
Female,0,No,Yes,51,No,No,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,111.93,8.840652555243539,3
Female,0,Yes,No,4,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,114.27,8.735517147115706,2
Female,0,Yes,Yes,36,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Two Year,No,Mailed Check,59.15,7.650230574228281,3
Male,0,Yes,Yes,38,Yes,Yes,Dsl,Yes,No,No,No,No,No,Two Year,Yes,Bank Transfer (Automatic),68.03,8.202427650554714,1
Male,0,Yes,Yes,12,Yes,Yes,No,No,Yes,No,Yes,No,No,One Year,No,Bank Transfer (Automatic),20.04,5.97062388123613,2
Male,0,Yes,Yes,6,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,23.81,6.504737174517024,4
Male,0,No,Yes,22,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,Yes,Two Year,No,Mailed Check,99.09,8.415468281151051,4
Male,0,Yes,Yes,20,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,92.96,8.513217298016645,2
Female,0,Yes,No,53,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),26.38,7.003728875040863,5
Female,0,Yes,Yes,57,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,68.4,8.249185633479382,2
Female,0,No,Yes,48,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Electronic Check,97.25,8.033921124484444,4
Male,0,Yes,No,28,Yes,No,Dsl,No,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,118.61,8.928295712741813,2
Male,0,No,No,10,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,No,Electronic Check,72.27,7.97583619261307,3
Female,0,Yes,Yes,18,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),74.27,7.83869025852002,4
Female,0,Yes,Yes,62,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Month-To-Month,No,Mailed Check,42.82,7.029459505599739,2
Female,0,No,Yes,30,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),76.75,7.17938418611167,4
Male,0,No,No,12,Yes,No,Dsl,No,No,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,71.51,8.235612467822433,2
Male,0,No,Yes,25,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,One Year,No,Credit Card (Automatic),67.93,6.816188085456647,2
Female,0,No,No,69,Yes,No,Dsl,No,No,Yes,Yes,No,Yes,One Year,No,Electronic Check,34.13,7.3177501123766975,3
Female,0,No,Yes,19,Yes,No,Dsl,No,No,Yes,Yes,No,No,Month-To-Month,Yes,Mailed Check,76.21,8.530002796981336,2
Female,0,No,No,10,No,Yes,Dsl,Yes,Yes,Yes,No,No,No,Two Year,Yes,Electronic Check,79.86,7.407803029576249,3
Male,0,Yes,Yes,45,Yes,No,Dsl,No,Yes,Yes,No,Yes,No,One Year,Yes,Electronic Check,74.33,7.868269573478455,3
Female,1,No,Yes,41,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,One Year,Yes,Mailed Check,67.5,8.460282041121786,2
Male,1,No,Yes,9,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),91.83,6.427167838276756,3
Male,0,Yes,Yes,59,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Transfer (Automatic),29.98,7.500225403788507,3
Male,0,Yes,No,45,Yes,No,Dsl,Yes,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,54.4,7.693814311109597,5
Male,0,No,No,65,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),68.64,8.236205991542384,2
Female,0,No,Yes,13,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,One Year,Yes,Electronic Check,24.21,7.131690516829846,2
Male,0,No,Yes,71,Yes,Yes,No,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,59.69,7.051820990321559,1
Female,0,No,Yes,31,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-To-Month,No,Electronic Check,34.74,7.293765699256166,4
Female,0,Yes,Yes,42,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Electronic Check,98.74,7.587938793150224,4
Female,0,Yes,Yes,4,Yes,Yes,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,28.16,7.412311289734532,1
Female,0,No,No,52,No,Yes,Dsl,Yes,Yes,No,No,No,Yes,Two Year,No,Mailed Check,44.49,7.957460896694163,3
Female,0,No,No,19,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Two Year,No,Electronic Check,43.63,6.189474888783194,4
Female,0,No,Yes,70,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Credit Card (Automatic),106.74,8.85729739587857,3
Female,0,Yes,No,67,No,No,Dsl,No,No,Yes,Yes,No,No,Month-To-Month,No,Bank Transfer (Automatic),53.31,6.867526858262093,2
Male,0,No,Yes,25,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,22.07,5.597050648811833,4
Male,0,No,Yes,50,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),40.33,7.263967115703274,4
Female,0,Yes,No,24,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,24.41,7.286109519543631,3
Male,0,Yes,Yes,4,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),102.04,7.535323397229264,3
Male,0,Yes,Yes,45,Yes,No,Dsl,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),54.18,5.121938119209712,4
Male,0,Yes,No,9,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),71.81,8.233078083110545,1
Female,0,No,Yes,70,Yes,Yes,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Mailed Check,75.27,8.475989874201725,2
Female,0,Yes,Yes,22,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-To-Month,No,Electronic Check,96.23,8.276150400214195,4
Male,0,No,Yes,28,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,No,Mailed Check,28.09,6.183261899738927,3
Male,0,No,No,63,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,32.14,5.954956152291459,3
Male,0,Yes,Yes,33,Yes,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed Check,54.78,7.483587439349374,0
Female,0,Yes,No,8,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),74.1,8.23459152515183,5
Male,1,Yes,Yes,20,Yes,No,Dsl,No,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Mailed Check,71.8,7.983136469859957,4
Female,0,No,No,67,No,Yes,Dsl,No,Yes,No,No,Yes,Yes,One Year,Yes,Electronic Check,72.65,8.546946149565585,3
Male,0,Yes,No,56,Yes,Yes,Dsl,No,No,No,No,Yes,No,One Year,Yes,Credit Card (Automatic),33.46,7.130378695049459,1
Female,0,Yes,No,18,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Two Year,No,Electronic Check,26.8,6.956735901203759,3
Male,0,Yes,No,1,No,Yes,Dsl,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Mailed Check,88.78,7.123084376832232,5
Female,0,Yes,No,5,Yes,Yes,Dsl,No,No,Yes,No,No,Yes,Two Year,Yes,Electronic Check,70.16,5.8484598526909775,2
Female,0,No,No,57,Yes,No,Dsl,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card (Automatic),96.12,7.739794458408701,4
Male,0,No,No,35,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-To-Month,No,Electronic Check,78.55,7.709541594648511,1
Female,0,No,No,40,Yes,No,Fiber Optic,No,No,No,No,No,Yes,One Year,No,Electronic Check,67.43,5.241270711168761,1
Male,0,Yes,No,58,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),80.3,8.2772976050143,1
Female,0,No,Yes,16,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Two Year,No,Electronic Check,88.22,8.732401340544412,1
Female,0,Yes,No,18,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,69.99,7.664590619224815,1
Male,0,No,Yes,68,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card (Automatic),71.76,7.767941159471519,4
Female,1,Yes,Yes,33,Yes,Yes,Dsl,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Transfer (Automatic),71.32,7.576497055703329,4
Female,0,No,No,3,Yes,Yes,Dsl,No,No,Yes,No,Yes,No,Two Year,No,Bank Transfer (Automatic),74.23,7.380293194210645,2
Female,0,Yes,No,61,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),96.06,6.70026359560615,5
Male,0,Yes,No,26,Yes,No,Dsl,No,Yes,No,Yes,No,No,Month-To-Month,No,Bank Transfer (Automatic),51.6,8.05400786462651,2
Female,0,Yes,Yes,62,Yes,No,Dsl,Yes,Yes,Yes,No,No,No,One Year,No,Electronic Check,93.28,8.181384734444562,3
Female,0,No,Yes,29,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,No,Month-To-Month,No,Electronic Check,73.08,7.864289277946129,4
Male,0,Yes,No,71,Yes,No,No,No,No,No,Yes,Yes,No,Two Year,No,Credit Card (Automatic),44.0,7.769826333520736,2
Male,0,Yes,No,61,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Electronic Check,66.03,8.02323451751002,1
Female,0,Yes,No,50,Yes,No,Dsl,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Mailed Check,41.32,6.890375115150601,4
Male,0,Yes,Yes,20,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Two Year,Yes,Mailed Check,114.76,8.80411497492161,3
Female,0,Yes,No,44,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Mailed Check,95.54,6.378952360985484,5
Male,0,No,No,48,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-To-Month,No,Electronic Check,115.83,8.857068203453444,3
Female,1,Yes,No,12,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,45.91,7.420632796174236,3
Male,0,Yes,Yes,57,Yes,No,No,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,117.53,8.258629694870768,2
Female,0,No,Yes,6,Yes,Yes,Dsl,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Electronic Check,105.71,6.895358758645585,3
Male,0,No,No,15,Yes,Yes,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),96.09,8.75316135471869,2
Female,0,Yes,No,49,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Mailed Check,94.63,8.241505563812824,5
Female,0,Yes,Yes,60,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),104.6,8.294394580603212,4
Female,1,Yes,Yes,62,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Electronic Check,67.48,8.273198763584556,2
Female,0,No,No,14,Yes,Yes,Dsl,No,No,No,Yes,No,No,Two Year,Yes,Mailed Check,119.84,8.447630872110363,1
Female,0,Yes,No,50,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,20.46,6.103229510438802,2
Male,0,Yes,No,2,No,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two Year,Yes,Electronic Check,105.65,7.162374241271344,4
Male,0,Yes,Yes,10,Yes,Yes,Dsl,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),27.56,6.990099950487345,3
Male,0,Yes,Yes,29,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,24.75,7.188246559548335,3
Female,0,Yes,Yes,52,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,One Year,Yes,Electronic Check,35.32,7.680157164515334,2
Male,0,No,Yes,15,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,83.43,8.684918742902783,1
Female,0,No,Yes,11,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Two Year,Yes,Credit Card (Automatic),85.23,5.775296609530198,3
Female,0,No,No,26,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,60.12,7.580623218683701,4
Female,1,Yes,No,26,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Mailed Check,76.82,7.892067210422946,1
Female,0,Yes,No,20,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,30.45,4.553139777893708,3
Male,0,Yes,Yes,17,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Two Year,Yes,Bank Transfer (Automatic),33.15,7.333571883338199,0
Male,0,Yes,No,14,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,51.46,8.015168723603315,2
Female,0,No,Yes,14,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,117.73,7.823873996062596,3
Female,0,Yes,Yes,5,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,107.02,8.879878834853354,4
Male,0,No,No,57,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,53.39,4.745627538683348,1
Female,0,Yes,No,6,Yes,No,Fiber Optic,No,No,No,No,No,No,Two Year,Yes,Bank Transfer (Automatic),117.77,7.736730587649295,0
Male,1,No,Yes,6,Yes,No,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Electronic Check,104.16,7.877927951805335,1
Female,0,No,No,40,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,57.1,7.957450395415632,3
Male,1,Yes,No,3,Yes,Yes,Dsl,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,43.04,7.991558451996538,1
Male,0,Yes,Yes,2,Yes,Yes,Dsl,No,Yes,Yes,Yes,Yes,No,Month-To-Month,No,Mailed Check,97.57,8.697833335427655,4
Male,0,Yes,No,9,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Two Year,Yes,Electronic Check,52.5,7.532548669513352,3
Female,1,No,No,50,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),92.69,8.467429253282797,4
Male,0,Yes,No,0,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),112.66,8.695459871631968,2
Female,1,No,Yes,71,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,69.01,7.867477078782488,3
Male,0,No,Yes,63,Yes,Yes,No,Yes,No,Yes,No,Yes,No,One Year,No,Electronic Check,54.31,6.901073002218215,3
Male,0,Yes,No,3,Yes,Yes,Dsl,No,No,Yes,No,No,Yes,Two Year,No,Credit Card (Automatic),39.53,6.119219915575709,2
Male,0,Yes,Yes,47,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,36.73,7.434570386892773,3
Female,0,Yes,Yes,17,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,83.1,7.268174205463217,4
Male,0,Yes,Yes,2,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Credit Card (Automatic),114.6,8.367769322595361,3
Male,1,Yes,Yes,2,Yes,No,Dsl,No,Yes,No,No,No,Yes,Month-To-Month,No,Electronic Check,77.15,8.015954796286152,2
Female,0,Yes,Yes,69,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),85.16,8.344414753863184,1
Female,0,No,No,58,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),36.41,4.813321919483064,2
Female,0,Yes,No,28,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Two Year,No,Electronic Check,117.47,7.267525427828172,1
Female,0,No,No,50,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Two Year,Yes,Mailed Check,64.21,8.435043432134409,2
Female,0,Yes,No,10,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),112.98,8.993032261311386,3
Female,0,Yes,Yes,61,Yes,Yes,Dsl,Yes,No,No,No,No,No,Two Year,Yes,Electronic Check,35.49,5.11954948795338,1
Female,0,Yes,No,17,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,45.75,6.568386852448824,0
Male,0,No,Yes,57,Yes,Yes,Dsl,Yes,Yes,No,No,No,Yes,Two Year,Yes,Electronic Check,20.02,5.630494678886369,3
Female,0,Yes,Yes,42,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-To-Month,No,Bank Transfer (Automatic),79.07,8.195937789280112,3
Male,0,Yes,Yes,67,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Transfer (Automatic),40.45,7.653300393590529,4
Male,0,No,Yes,17,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,116.22,8.897824476964372,3
Female,0,No,Yes,38,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,61.57,7.927562427207716,3
Male,0,No,Yes,71,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Mailed Check,45.69,5.575911223641018,5
Male,0,Yes,Yes,66,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,No,Bank Transfer (Automatic),60.35,7.633418051218762,4
Female,0,No,Yes,31,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Automatic),109.89,8.730956889124187,2
Female,0,Yes,No,64,Yes,Yes,Dsl,No,Yes,Yes,No,No,No,One Year,Yes,Mailed Check,38.48,7.678738118088871,2
Female,1,No,No,10,Yes,Yes,No,No,No,No,No,Yes,No,Two Year,Yes,Electronic Check,32.07,7.318055346480352,1
Male,0,Yes,Yes,55,Yes,Yes,Dsl,No,Yes,Yes,No,No,No,Two Year,No,Electronic Check,119.45,9.021804747795755,2
Male,0,No,Yes,12,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,40.03,7.958069782242495,4
Female,0,Yes,Yes,42,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,98.7,7.514837906900052,5
Female,1,Yes,Yes,49,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,Month-To-Month,No,Credit Card (Automatic),108.74,8.916742167006154,3
Male,1,No,No,33,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,95.83,8.330041588708161,3
Female,0,No,Yes,57,Yes,Yes,Dsl,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Transfer (Automatic),36.87,7.227647974294926,3
Female,0,No,No,1,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,61.6,7.707705434355303,2
Female,1,No,Yes,12,Yes,No,Dsl,Yes,Yes,Yes,No,Yes,No,One Year,Yes,Credit Card (Automatic),97.63,8.759051719926115,4
Male,0,No,Yes,7,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,No,Credit Card (Automatic),82.59,7.877893839640744,2
Female,0,Yes,Yes,14,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),110.12,8.873749528321433,2
Female,0,Yes,Yes,24,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,One Year,No,Bank Transfer (Automatic),32.85,6.863677991741209,3
Male,0,No,No,51,Yes,Yes,Dsl,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,114.04,8.866364453014858,5
Male,0,No,No,11,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-To-Month,Yes,Credit Card (Automatic),26.61,5.7726553389425765,2
Female,0,No,No,24,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),46.73,5.287610249404349,4
Female,0,No,Yes,66,Yes,No,Dsl,Yes,Yes,No,Yes,No,Yes,One Year,No,Bank Transfer (Automatic),91.7,7.026853005609056,4
Male,0,Yes,No,52,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Mailed Check,108.13,7.492526290257111,4
Male,0,No,No,7,Yes,No,Dsl,No,Yes,Yes,No,No,Yes,Month-To-Month,No,Electronic Check,82.98,8.28544270648658,3
Female,0,Yes,No,23,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,82.0,8.100276766538943,3
Female,0,Yes,Yes,9,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,26.92,7.434540862326855,4
Male,0,Yes,Yes,49,Yes,No,Dsl,Yes,No,Yes,No,No,Yes,Two Year,Yes,Mailed Check,32.91,6.804481473518312,3
Male,0,No,Yes,0,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Mailed Check,83.69,6.270931719475136,4
Male,0,Yes,No,51,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,No,Mailed Check,49.56,7.52799837780601,5
Male,0,No,Yes,32,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Two Year,No,Mailed Check,90.12,8.089043727818815,2
Female,0,No,No,65,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),21.39,4.143610803525019,5
Female,0,Yes,No,39,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Two Year,Yes,Mailed Check,103.11,7.827049495876066,2
Male,0,No,No,21,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),81.45,7.495141863862917,5
Male,0,No,No,71,Yes,Yes,Dsl,No,No,No,No,Yes,No,One Year,Yes,Electronic Check,30.27,5.139380249986818,1
Female,0,Yes,Yes,6,No,Yes,No,No,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,28.96,7.245940333607025,2
Female,0,Yes,No,15,Yes,Yes,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),113.42,8.990027809628538,2
Male,1,No,Yes,22,Yes,No,Dsl,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Mailed Check,110.23,8.834636958146941,3
Male,1,Yes,Yes,14,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,60.11,6.689885297920587,4
Male,0,No,Yes,51,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,No,Electronic Check,105.77,8.46418263390235,0
Female,0,No,No,39,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,One Year,Yes,Mailed Check,42.5,7.167439031007057,3
Male,0,Yes,Yes,34,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,One Year,No,Electronic Check,62.73,8.197381789079085,2
Female,0,No,No,47,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,One Year,Yes,Credit Card (Automatic),25.32,7.366786430160182,2
Male,0,Yes,Yes,62,Yes,No,No,No,Yes,No,Yes,Yes,No,One Year,Yes,Electronic Check,89.82,7.948727861537162,3
Male,0,Yes,Yes,25,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),48.8,6.954276203707526,5
Male,0,Yes,Yes,10,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,103.54,8.019681870961795,3
Male,0,No,No,42,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,Two Year,Yes,Electronic Check,64.1,7.476670549522729,3
Male,0,No,Yes,44,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-To-Month,No,Electronic Check,50.46,8.023955325632626,4
Female,0,No,Yes,49,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,21.79,7.176774274603404,3
Female,0,Yes,No,43,Yes,No,Dsl,No,No,Yes,No,Yes,No,One Year,No,Mailed Check,27.25,6.982853474988068,2
Male,0,Yes,Yes,30,Yes,No,Dsl,No,No,Yes,No,No,Yes,Two Year,No,Credit Card (Automatic),66.88,7.285314617836593,2
Female,0,Yes,Yes,29,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two Year,No,Electronic Check,35.38,6.230146745902833,4
